,rating,review_title,review_content
90,5,Wonderful,Good product this price range and camera quality is good
91,5,Simply awesome,Nice phone..good performance...but camera is not bad...satifacty
92,5,Wonderful,"Product is awesome, OnePlus never disappoint you. Battery is awesome.it give excellent performance while you using this. Camera is excellent picture is excellent . worth for money. I am really happy with the product"
93,5,Highly recommended,Masst phone all accessories fast charging sweet s camera
94,4,Good choice,Awesome.
95,3,Could be way better,Camera performance is very poor
96,5,Brilliant,Very nice performance in this range. Comparable with iPhone.
97,5,Fabulous!,Storage is good at least on a full charge working almost 2 days and camera is awesome so it's a good choice when you are looking for storage(256 gb) and battery life smartphones.
98,5,Fabulous!,"Good product
Except camera clarity (7 out of 10) rest features are excellent (10/10)👌"
99,5,Classy product,Value for money
100,5,Terrific purchase,Very good phone ￼
101,1,Very poor,Selfi camera quality very poor
102,5,Classy product,"Bast Phone and Bast Cemra battery 🔋
Delivery To time delivered 🫶🏻"
103,5,Best in the market!,One of the best product 🤗💐
104,4,Good choice,"All is good but the battery is draining as fast as an Apple phone,"
105,2,Bad quality,"Features are li'l bit older.. battery is too low quality, not so much durability. As i know new battery is last for minimum 2days. But in this phn i charged more or less 2times in a day. And camera quality is also poor. 🥲"
106,3,Just okay,"I would say big disappointment for this price.
Device hangs often when we launch applications with high ram and decent processor.

Camera is okay. Not so good . Don't expect real results for 108 mp.

Battery is okay satisfied."
107,5,Simply awesome,Awesome 👍😎
108,4,Wonderful,Product is good but camera performance is not good
109,4,Really Nice,I have used this phone since 1 week....selfie camera is awesome ...but back camera is just ok ....while background apps is running charging downs so fast.... performance and display is awesome.....overall 4 /5 ....it's better option for OnePlus lover with reasonable price
110,4,Good quality product,"It's okay for the price and configuration. Was using realme 6 with 8 GB Ram which was slightly better in performance.
There are no major heating issues sometimes it's becoming warm. Overall a nice phone but could have been better."
111,4,Delightful,Super camera
112,5,Brilliant,Better option for this time
113,5,Brilliant,Superb
114,5,Brilliant,So beautiful all sistam
115,5,Wonderful,It's very nice phone 📱 nice display camer good 👍 you can buy this phone its really good
116,5,Terrific,"Phone was amazing all features were good
If you want to buy so you can buy
If you don't have money so you can use flipkart pay later EMI as I used"
117,1,Useless product,"Very bed, not working function"
118,1,Terrible product,Getting blue screen while running video
119,5,Super!,"Just Awesome go for it.

Display should be Amoled it could be super better in the market."
120,5,Highly recommended,Camera just
121,4,Very Good,Poor camera quality every 8K Phone is better
122,1,Don't waste your money,Battery backup and camera quality is very very bad plis anyone donot buy Oneplus CE3 lite 5G.
123,4,Value-for-money,Camera quality is too good.
124,4,Worth the money,Nice product
125,3,Fair,Just ok camara is good but charging problem
126,5,Very poor,"Camera quality is very very low
Selfie get blurred"
127,5,Best in the market!,"Excellent in all things
Good performance in heavy use"
128,4,Delightful,Camera's quality is very good and battery back up also good so this product is to good thanks Flipkart
129,5,Highly recommended,The product is user friendly and light. The battery life is also as expected.
130,5,Best in the market!,"I am using OnePlus phone for the first time and I like this phone very much, I am very happy.
Camera 9/10
Battery 10/10
Display 9/10
Sound 8/10
Design 10/10
Performance 9/10"
131,4,Really Nice,"Very nice phone Camera 📸 5,Battery 🔋 5,Display 4"
132,5,Perfect product!,Good quality OnePlus Nord ce3 lite 👍
133,5,Classy product,Osm design
134,3,Does the job,Rear camera poor quality. Bulky design.
135,4,Delightful,"The phone looks good but the back glass catches fingerprints easily. speed is ok for day-to-day use. In the room the light camera struggles to take clear pictures. But outside it takes sharp photos.
The front camera does a good job.
You can only shoot videos in 1080 resolution with 60 FPS, and the quality is below average.One of the best things about OnePlus phones is that their UI is free of annoying ads. However, there are some bloatware apps that come pre-installed. Battery Lasts all day...
READ MORE"
136,4,Good choice,Beautiful pictures 🖼️
137,4,Good quality product,It's very good especially for girls and women
138,4,Good quality product,Best Phone
139,4,Good choice,Good price
140,4,Worth the money,Good phone but performance is average.
141,1,Not recommended at all,Battery performance very low
142,5,Awesome,Osm looking 🥰
143,4,Delightful,Good 😊
144,3,Nice,Nice
145,5,Wonderful,it is a very good phone
146,5,Classy product,Good
147,5,Terrific purchase,"Worth the money,"
148,5,Mind-blowing purchase,Good
149,5,Wonderful,Overall good experience but battery backup is slightly low 🤔
150,5,Super!,Gr
151,3,Fair,Camera quality is so good 👍👍👍
152,5,Great product,Best product
153,5,Terrific,Amazing phone
154,5,Terrific purchase,"Battery is good
Display is good
Design is good
Performance is also good but camera is okay"
155,5,Just wow!,Great Mobile
156,1,Worst experience ever!,"I bought mobile 1 week back, Mobile Data was too slow. Signal issues are there. Very bad Experience"
157,5,Awesome,Nice phone... good performance 💯
158,5,Brilliant,Best quality
159,5,Highly recommended,Everything is good at this price range but camera want some improvement
