,rating,review_title,review_content
10,4,Wonderful,"Overall very decent product. Great work by Motorola team. Camera, display, design is very good. One can definitely go for buying it. Only observation is while charging with 125 watt charger,phone gets really heated up. Rest is fine. Ask me in case of any query."
11,5,Perfect product!,🥰 osm
12,4,Value-for-money,"Phone is temperature 🌡️ high.
Using the phone first I noticed phone is heavy heating"
13,5,Wonderful,"I'm Giving Honest Review After Using it For more than 8Day .. let meat after 1 month..
I am Mentioning the Cons First..
1. The Battery is not Efficient for a whole long day you have to charge it twice per day . If u are a normal user and use it on only a4g/lte network then u may use it for whole working day
But if u are heavy user u have a charge it minimum 2 times or may be 3 times . It totally depends up to your uses and needs

Pros... But u will get 80/125 watts fqst charging adapter so...
READ MORE"
14,5,Just wow!,Nice
15,5,Brilliant,"Unique design. Moto has done a fabulous job.
Price really justifies it's specifications.

Unique Specifications-
1- . 125W fast charge.
2- IP68 rating.
3- Pantone validated camera and display.
4- 50W wireless charging.
5- 144hz display.
and many more.."
16,5,Slightly disappointed,The phone is good but the Flipkart service is worse .
17,3,Decent product,"Having issue with the double back tap option in the phone, it does not work most of the time. Apart from the had few issues with the performance, overall a decent phone. Anyone else having an issue with the double back tap (Quick launch) feature?"
18,5,Must buy!,The camera is unbeatable. It's like you are buying a DSLR in just 35 k. Processor is up to the mark. Battery backup is also good. .It captures millions of colors and gives aesthetic pictures.
19,5,Perfect product!,Super 😍💯
20,4,Value-for-money,"Point-wise review for the Motorola Edge 50 Pro:

1. Stunning Display: The 6.7-inch P-OLED display offers vibrant colors and crisp details.
2. Powerful Performance: The Snapdragon 7 Gen 3 chipset with up to 12GB RAM ensures smooth multitasking and gaming.
3. Impressive Camera System: The 50MP main camera, along with ultrawide and telephoto lenses, captures stunning photos.
4. Battery and Charging: The 4500mAh battery with 125W wired charging provides all-day usage and quick
recharges.
5. Room...
READ MORE"
21,5,Terrific,"Overall good phone I loved it 😌💖

but the negetive point is the camera , some gitter in camera app and video quality"
22,5,Best in the market!,"Awesome display nd camera 💯
Battery performance r also good💯
Jst loved this phone ❤️"
23,3,Does the job,"The phone gets warm sometimes. Especially after the 1st boot up it got very hot. Also it gets warm when installing any app.
Charging drops really fast even when you are playing less cpu/gpu intensive games. Even watching vids will reduce ur battery fast. The phone heating issue is kinda weird, it gets hot sometimes over the smallest of the tasks and sometimes it won't.
If u use ur phone very less, the charge will probably stay for 1 or 2 days but that less of a
usage is not possible nowaday...
READ MORE"
24,4,Really Nice,"Camera awesome
Zoom fantastic

24 min to 20 min full charge

Some heating issue but am continuously use mobile
12.30 to 6.30
24% remaining battery 4500 but osm as this capacity

Performance superb
As this budget phone

Charge very fast"
25,5,Must buy!,"Awesome phone, Awesome quality picture, display...Just Buy it.."
26,4,Really Nice,"The design is good, the battery draining too fast, heating issues"
27,5,Wonderful,"Pros
Front and back cameras
Display
Refresh rate
Design
Sound
UI
Special features

Cons
Little heating issue while charging offcourse it's a 125W
Wheather if it's 68 it could not happen
Battery normal one day usage

Awesome 9.5/10 in this price segment"
28,4,Worth the money,Who are all looking for buy this mobile great decision you can buy best mobile ever this price segment very much impressed moto❤️
29,4,Value-for-money,"Nice camara
Nice performance
Super fast charging"
30,3,Nice,"Superb Design
Trendy Look
Decent Display
Fast Charger
All these are good...

But Heating Issue makes it hard to Hold... Immediate bug fix needed..."
31,5,Brilliant,"I had moto edge 20 previously, it is a great update overall. Although moto has done a phenomenal job with the camera this time, they should also keep update cycles in mind this time.
Still the camera needs some optimisation, it feels slower during processing of images. Don't step back seeing it's ufs 2.2, it is well optimised and supersedes its competitors. Well built phone for the price point.
Although I had one complaint from moto that I didn't get any pre applied scratch guard on the phon...
READ MORE"
32,5,Perfect product!,"I love this phone ❤️👌
5*****❤️👌"
33,5,Terrific purchase,"Better experience, 😉
Happy with this product.💜
Budget friendly.🤝."
34,5,Simply awesome,Overall a decent product.needs to improve front camera
35,4,Very Good,"Haven't used the Motorola device for a long time. Using this for a couple of weeks now. Coming from Oneplus 7, I feel performance hasn't really dropped. Camera is definitely an upgrade and the only improvement area would be processing time for photos. Update can fix it. Display and design are top notch considering the price of the device. Haptics could have been better but remember what you are paying. Overall it's a flagship challenging device for sure. Good for daily use, charging speeds ar...
READ MORE"
36,5,Worth every penny,Good
37,5,Terrific purchase,Awesome Device. Will do one more review after 10 days of usage.
38,5,Terrific purchase,"Amazing product really loved using it ,cover quality is little bit poor but the overall product is amazing"
39,5,Perfect product!,"the phone is quite amazing with IP68 , USB type C gen 3.1 though it comes with ufs 2.2 but it is well optimized for day to day use, Battery backup is also good but need some time to observe the usage pattern , kudos to the camera"
40,5,Great product,"All is good but mobile is hitting issue
Over all good"
41,4,Good choice,Very good performance
42,5,Terrific purchase,"Amazing work by the entire Motorola team, experiencing an amazing device like this after a long time...."
43,5,Brilliant,"It has best camera setup. The 10mp telephoto is the same used in galaxy s24 and it takes impressive portraits.
The battery backup is quite decent.
UI is also very smooth but has no gallery app and file manager app."
44,5,Must buy!,Great phone. Value for money
45,4,Pretty good,Phone very heat..
46,4,Pretty good,Product is good Only heating issue
47,5,Great product,Amazing phone in budget price.
48,5,Classy product,"Amazing moto, first time using moto."
49,5,Classy product,"I m in love with this phone .. I know some heating issue and camera processing timings can be an issue for you , believe me if u compare the cons bs pro then you will surprise some problem and minor heating issue cannot define your phone battery is good and u can see my frnd image , including some night picture , I can suggest you this phone for all rounder management,, you can go for it when you will see the extra features in this then absolutely you will forget the minor issue and if some...
READ MORE"
50,5,Terrific purchase,Great Camera phone in price segment.
51,5,Excellent phone for this price range,"Excellent phone for this price range.

The camera is very good, and the OLED screen is just amazing. Charge goes from 5% to 80% in less than 15 minutes. The performance is on par for the segment, and there is absolutely no lag for day to day standard usage. The phone does get warm during some operations, but it is well within the limit.

The only negative is that the curved edge sometimes results in touch related issues. It happens only in some conditions of holding the phone in some specifi...
READ MORE"
52,5,Simply awesome,Camera is good better than oneplus 12 overall awesome phone
53,5,Awesome,"Amazing phone 📱 nice camera pictures
Smooth running in hand
Worth it in this budget 👍"
54,5,Super!,Over all 10/9
55,3,Fair,Over all good
56,5,Terrific,"Mind Blowing product.,. Such a terrific quality 💯 camera quality is awesome 😎"
57,4,Worst experience ever!,"I clicked a picture, it said it's processing but didn't show in my gallery and it vanished. The phone heats up in Vivid display mode."
58,3,Decent product,"Mobile is Good.
But , battery 🔋 optimisation is not good.
Because I am not a heavy user, I still charge my mobile minimum 3 times per day.
Maybe it' will be solved in the next update."
59,5,Excellent,Motorola edge 50 pro is the best smartphone for mid range user. Go fot it without hesitation.
60,5,Terrific purchase,"I usually don't write reviews but this phone deserves every praise there is to offer. Phone usually charges within 20-30 mins. And gives a whole day worth of screen time. The curved display is fantastic to touch and watch. Brightness is too good (I use it at 60%) and it's still too bright.
The processor is pretty good for gaming and daily usage. UI is pretty good and easy to use. Camera is awesome and preforms better than expectations. Especially the AI zoom... People were surprised when they...
READ MORE"
61,5,Terrific purchase,"Every phone has its own pros and cons..
Smart connect feature is life saver...I loved it. For pc users it's a must have feature.
By the way phone is gorgeous 😍 and display is too good
Heating issue while charging as everyone is complaining about is normal. It's not that much issue ."
62,5,Fabulous!,Good performance and very nice phone in Motorola ❤️
63,5,Worth every penny,Keuuu keka altimate performance battery is too good
64,5,Awesome,"Camera - 5/5
Performance - 5/5
Battery - 4/5
Design - 5/5
Slimest Phone
Charging Speed is very Fast (125W)
Overall Great Experience"
65,5,Fabulous!,"After one day use-
Camera pixel quality is good,
Battery is avg,pls give updates on battery problems.
Display is fantastic.
Performance also excellent
Top notch performance don't compromise by seeing ufs 2.2 compared to 3.1 it's better, cam is excellent
My overall experience is superb thank u moto ❤🔥"
66,5,Brilliant,"Review after 10 days of use.
1 - Camera 10/10
2 - Display 10/10
3 - Battery 09/10
4 - Charging 10/10
5 - Performance 10/10

With respect to other reviews, no heating issue was observed during usage and charging. For office use, I am getting a minimum 28 hours of battery backup. 125W charger takes 30min to change from 10-100%. The camera quality is really superb. The display is also good. The only problem which is observed is - screen guard and mobile cover provided with mobile are very poor ...
READ MORE"
67,5,Wonderful,Good... Value for money
68,5,Terrific,Best in budget mobile. Camera and battery can be better. Display is bright and smooth
69,3,Fair,This product is very nice but front camera no clarity totally very good performance
70,5,Awesome,Very good camera phone
71,5,Wonderful,Nice phone
72,5,Great product,"Reviewing after 6days of using Moto Edge 50pro (125W, 12gb RAM variant)

Display - 10/10

Battery - 9/10

Camera - 9/10

Charging - 9/10

Light weight, premiumness, flagship features

Charging speed (125W):

0-50% in 11min

0-80% in 17mins

0-100% in 21mins.

This phone is very good as per the specs provided. You can go for it. I hope heating issues will be"
73,4,Good quality product,I like it
74,4,Good quality product,"It's a nice product.
The camera is good. Bit sometimes lag. Performance is good.
Battery backup is not so good initially as high usage. Later when it becomes normal usage almost 1 day back up.
Charging is super fast within 25-30 mins with a
125w ch
arger. The charger is a big one, you need to buy an adapter, else it touches the switches.

User interface, need to adjust I was an apple user.

Curved display is a great experience.
Flipkart experience is somewhat bad. Due to delay in de...
READ MORE"
75,4,Value-for-money,"Hallo moto
Nice product moto
Amazing product
World No1 phone
Camera....D.S.L.R🥰😍"
76,4,Good quality product,"It's first day yet, camera is awesome, rest of the feature yet to establish, screen guard has been applied already, but no tempered glass in box, charging is good, but mobile feels heated little bit, have to see how it is on further usage.."
77,4,Wonderful,"Display ✅
Camera ✅
Performance ✅
Charge ✅
Battery ❌"
78,4,Good quality product,Premium look. Premium feel in hand. Occasionally UI jitter.
79,4,Very Good,"I am writing this review after 3 days of use.
Camera performance is Nice but mobile gets hot while using camera and camera takes 1-5 sec to process images.
The display is far better than i thought.
Design looks premium and handy so its cool.
Performance is good like there is no lag in any app or i played BGMI.
The main drawback is the battery. Battery performance is not upto the mark. Company claims 2 days but it can't survive a single day even after moderate use. Phone heats while charging ...
READ MORE"
80,4,Value-for-money,"Cameras can be a lot better.
The battery is good and so is the charging, lasts a day easily after above moderate usage.
The display and sound are just awesome."
81,4,Worth the money,All about good but battery is drained fast. Looking awesome. Thank you Motorola and Flipkart
82,4,Nice product,Value for money 😁 upcoming king 👑 Moto 👑 I'm satisfied for this product 💞
83,4,Wonderful,"Phone ok . Not a wow feeling . Battery department needs to be improved , I am using it in adaptive battery mode to use it longer for normal routine tasks . Phone screen is vulnerable to get broken better use a high quality case cover and screen guard"
84,4,Very Good,Good. Buy if you like stock Android experience. Overall good
85,5,Best in the market!,"Let me be honest, this is not the 5 star phone that everyone deserves. If you need a device which can take great photos, can last a day from full charge and many other mind-blowing features, yes this might be a phone for you.

1. Camera - Great results in daylight, recently been buggy with some shots but hopefully will be fixed in the future updates.

2. Battery - I have an 8 hour job and with limited use during that, this battery will last me around 1.5 - 2 days from full charge. Charging w...
READ MORE"
86,5,Super!,"Absolutely Nice Product after Using lot of day in Rain
This phone is Absolutely nice till now"
87,5,Worth every penny,Good quality and valuable mobile
88,5,Great product,"Great phone, highly recommend If anyone wants to buy in this price segment.

Points moto to consider -
1. Pls start to Make it in INDIA-HIGHLY RECOMMENDED
2. pls add an IR blaster, some techies like having control from their phones...
3. Chargers electric pin side to be narrow."
89,5,Best in the market!,After using it for a week: worth buying it. We can't get these features for 32k in other brands. a small lag in some apps is there but I think this will be fixed in upcoming updates. The water test is not done yet. Will update you on that soon.
90,5,Highly recommended,"Good Phone , light weighted , nyc design and wonderful display."
91,5,Just wow!,Mobile is great for those who have moderate use. The camera is superb and the battery gives one day backup easily. It takes max 30 min to full charge. I love the design and screen resolution. It's the perfect mobile for daily use. No complaints at all.
92,5,Strangely beautiful,"Battery:
I wake up in the morning charge my phone and come to the office, watch a movie on the train, use the office Wi-Fi all day, the phone is used enough, on the way home to watch a movie, come back home and use the Wi-Fi, my mobile data usage is very low. About 2-3 hours all day, but when I wake up the next day, the phone has above 40 percent charge, tell me if it's a good battery or a bad battery.
Camera:
I have been using S21FE5G mobile for 2 years so my Samsung was best except for por...
READ MORE"
93,5,Brilliant,Good phone camera is excellent display nice and super
94,5,Terrific,Value for money
95,5,Worth every penny,Great phone...😍
96,5,Best in the market!,Good
97,5,Brilliant,The best Android phone
98,5,Awesome,Overall Good Phone. In this budget. Some battery Drainage issues.
99,5,Highly recommended,good
100,5,Great product,Great
101,1,Terrible product,"The display is not showing the caller name or number...
And while typing on keyboard pad, letters are missing."
102,5,Just wow!,Excellent product by moto.
103,1,Worthless,"Overheating in normal usages, difficult to hold
Battery drain very fast
Design,camera and performance is good"
104,5,Worth every penny,Loved it
105,4,Really Nice,"Pros : good display, camera

Cons: poor battery life, you wont get good screen protectors anywhere in the world(since the screen is curved)"
106,5,Classy product,Super
107,1,Don't waste your money,"Device restarting automatically on it's own, and the Flipkart service is so pathetic."
108,4,Pretty good,"You can feel the improvement Motorola has done.Lookwise and design it's awesome.
Camera,Display upto the mark.Haptics should have better.It moto works on regular software update then it would be phenomenal.

Cons only I can say is heating issue while charging."
109,1,Useless product,"Do not buy this phone, To much heating issue, i cant hold the phone.
Colours in the display is not good, to much light
No gallery app provided. Only Google photo aap we can use which is not good.
No dual app option given.
Can not install themes only 4 inbuilt theme are there to use which is not good.
Display size and font size adjustment is not good. Really bad function.
Only the camera and charger are good other then that nothing is good in it.
While play song, speeker vibrates half of the m...
READ MORE"
110,5,Terrific,Value for money
111,5,Awesome,"Camera - 5/5
Performance - 5/5
Battery - 4/5
Design - 5/5
Slimest Phone
Charging Speed is very Fast (125W)
Overall Great Experience"
112,1,Not recommended at all,over heating
113,5,Super!,NYC phone
114,5,Great product,"Just go for it ,😚🥰🥰"
115,5,Mind-blowing purchase,Overall go
116,5,Brilliant,"Unique design. Moto has done a fabulous job.
Price really justifies it's specifications.

Unique Specifications-
1- . 125W fast charge.
2- IP68 rating.
3- Pantone validated camera and display.
4- 50W wireless charging.
5- 144hz display.
and many more.."
117,4,Really Nice,"Camera awesome
Zoom fantastic

24 min to 20 min full charge

Some heating issue but am continuously use mobile
12.30 to 6.30
24% remaining battery 4500 but osm as this capacity

Performance superb
As this budget phone

Charge very fast"
118,1,Worthless,Battery is draining too fast
119,4,Worth the money,"Motorola Edge 50 Pro is a very good phone, you can buy this mobile, I have only one issue with it, the phone gets hot while charging."
120,3,Nice,"Battery backup is too less, heating phone more than 50 degrees in 5 mins usage"
121,4,Good quality product,I like it
122,5,Best in the market!,Awesome curved Display And Good camera quality... I love it ❤
123,5,Must buy!,"After 4 Days of Usage the Phone is awesome in this Price range with Superb Camera features
Need little improvement in camera especially in AI but Clarity is awesome feeling little lag when transferring photos also there is a frame drop feel while shooting vedio hope Motorola will rectify all small issues in next update
Anyway happy in this product"
124,1,Worthless,"After 15 minutes of the delivery the mobile back camera starts fogging inside, such bad experience.good ."
125,1,Horrible,Poor battery backup
126,3,Good,"Day1: Phone is perfect in ever aspects, but it gets a little bit hot on using it. Youtubers are saying that after some time this issue will not be seen. So I will edit this review after 20 days whether it is still getting hot or not. Rest everything is perfect."
127,1,Hated it!,After I use 20 days Motorola the brand this is first time I am used this mobile in my life but battery was worst I don't no why I have to carry power bank also to maintain the charge i am suggest to otherd don't take risk. And it's over heating also
128,1,Don't waste your money,Waste of money pls dont buy
129,5,Brilliant,"Best phone ever, camera quality is super"
130,1,Absolute rubbish!,Worst
131,5,Brilliant,I am in love with this mobile. This is a beast in performance. Battery backup is very good and fast charging just never lets me down. The display of the mobile is also very good. Anyone planning to buy will not regret the product
