,rating,review_title,review_content
27,4,Pretty good,"The Realme GT2 Pro, which I managed to snag for just 27k during the Big Billion Day sale, is truly a gem in its price range. With its Snapdragon 8gen1 processor, it delivers remarkable performance that's hard to find under the 30k mark. The camera also impresses, adding another feather to its cap.

In terms of user experience, it shines. The haptics are on point, making interactions smooth and enjoyable. This phone truly stands out as an all-rounder under 30k.

One thing to note is that it t...
READ MORE"
28,4,Good quality product,Battery backup is worst other than battery it's nice and overall performance is good
29,5,Must buy!,"A very good product in this price point.

Pros:-
I just love the performance, 120hz LTPO 2.0 display, stereo speaker, 360 degree NFC . Camera is ok, no hate no love. Battery also at the good side, which gives screen on time about 5 to 7 hours in daily uses.

Cons:-
Often it heats up little bit in normal multi tasking between 3 to 4 apps, and the ram management is also not good. My bluetooth is also malfunctioning with lower version of bluetooth devices."
30,4,Good choice,"Simply Superb Mobile with all Latest features
Perfect for Gaming.
Looks Premium.
The issue is if dust catches on the back it will be like dirty mark on it"
31,4,Really Nice,Camera is very good and night mode is also good
32,5,Excellent,Nice 👍
33,5,Worth every penny,"Value for money. Good camera performance.No heating issue so far .The microscopic camera is fun. Battery backup also decent.
Charging also very fast in 10 mins battery to 80% in 25 to 30 mins battery is full.I like this mobile very much."
34,5,Excellent,"Very satisfied with the phone.
Pros:
1. Brilliant screen - The QHD LTPO2 screen is simply amazing. Also the auto select feature to switch between FHD and QHD works like a charm to improve the battery life.
2. Amazing Performance - I am not a heavy user but do play BGMI occasionally. Overall the gameplay was smooth. For heavy gamers it might heat up a bit.
3. Good Camera - To be honest, I didn't have any expectations from the camera as the GT series is more performance oriented, but to my surp...
READ MORE"
35,5,Highly recommended,"In one word I just want to say Great Device

After one week usage I definitely have to say that Gaming in this is a great experience

And suppose if I not play games then the battery backup is easily gose for a day.

And When I start a game from 100% Of battery, after 45 minutes continuous gaming it's dropped to 85-87% . So in my opinion overall It's A great device ☺️."
36,5,Must buy!,"Good product
With good quality
Only one issue that is heating and baatery life

All is good"
37,5,Must buy!,"This is an honest review after using it for 2 days.

I bought this phone for 31k along with exchange offer, trust me this is the best deal i could get for this price range. The performance is just brilliant. I could play games at extreme settings without any lag. The device gets a little warmer, but not too much. battery Screen on time i get around 7hrs. Even afte playing games for several hours the battery consumption was legit. Dolby speakers are nice. You can have better experience in te...
READ MORE"
38,5,Awesome,"Value for money
I got it for 33528.
SHORT REVIEW AFTER 5-6 Days

camera 8/10 - Best camera for 33k.
Best night mode. Only issue is with wide angle videos in dark conditions, in daylight works fine. Go for it if you are buying for close to flagship camera.

Display 8/10 - 120 hz doesn't work in some apps.

Battery life 9/10 - lasts for 1 day, heavy usage 6 hrs.
35 MIN 0 to 100% charge

Performance - 7/10 heating issues otherwise for casual gaming no issues.

D...
READ MORE"
39,4,Value-for-money,"Good phone with great preformace and camera
Battery drains faster with 120hz and 2k display and with 5g turned on ,as it should but this chip is a power hungry one and it heats up a littlle and battery drain in idle is fast as well
I think they should have givrn the option to force 120hz in every app thats a miss because difference from 120 to 60hz is verymuch noticable and irritating
Screen On time is good when used continuously which is around 6 to 6.5 hours but with more idle time time it...
READ MORE"
40,4,Very Good,"Heating Machine
Else everything is ok."
41,5,Perfect product!,Good mobile
42,5,Awesome,"Bought my first realme phone and I am absolutely satisfied with this purchase.
The display is top notch ☺️🤩🤩🤩🤩.
Camera is very good .
Battery is okay-ish and gets you through a busy day but is backed with a fast charger .
Bloatware is troublesome in the beginning and the heytap cloud is not user friendly. You can use google one , photos drive anyways so it does not matter that much..
Overall a rating of 8.8 /10"
43,5,Mind-blowing purchase,"Camera good, parformance good battery backup 6 hour Normal use dark mod on"
44,5,Best in the market!,Overall good
45,5,Super!,Hi all of you i have written this review after 1 week of usage this phone. Phone is Very Good but heating issue during using camera and playing game like bgmi .Compact design 5000 mah big battery 2k display with 120hz refresh rate is good. Fast charging Better camera in this price range don't expect so much in low light . Overall performance is good . You will miss 3.5 mm audio jack.No expendable storage.selfie camera is also good .
46,5,Worth every penny,"Very good..I am so happy,,,🥰🥰🥰🥰,"
47,5,Highly recommended,"Amazing screen, amazing camera, a bit of heating, Usb c to 3.5 mm adaptor not possible provided. Overall happy customer,"
48,5,Brilliant,"My Honest Review after using this Phone
🛑📷 Camera : 8/10
Camera is really good, You can Record 4k 60fps with good stabilization
🛑🔋 Battery: 7.5/10
I am really worrying about its battery life but you can easily get 6 Hours+ screen on time on Normal uses and 5 hours + sot on heavy usages.
🛑Performance : 10/10
With Snap 8 Gen 1 Performance is Top Notch.
🛑I know you all worrying about heating issue with this procceser But after the latest update I get ,Realme seriously control the heat...
READ MORE"
49,3,Good,"Buggy phone, OS needs to improve."
